,y,x
149525661,29.3418161,-98.6349321
149525955,29.410302,-98.628223
149525975,29.414562,-98.505148
149526374,29.2661419,-98.5508258
149526416,29.2952325,-98.6685746
149526940,29.271994,-98.685296
149526951,29.270949,-98.684725
149526971,29.3947303,-98.6485278
149526986,29.3976283,-98.6468529
149526991,29.193434,-98.480077
149526993,29.193417,-98.479823
149527326,29.359206,-98.631769
149527328,29.3565824,-98.6309771
149527338,29.2585206,-98.4912104
149527681,29.315268,-98.589888
149527683,29.315631,-98.5882093
149528007,29.376234,-98.734989
149528119,29.4014124,-98.6493089
149528246,29.2905346,-98.640763
149528253,29.2907451,-98.6407626
149528261,29.291781,-98.6395774
149528673,29.319953,-98.5584363
149528678,29.319407,-98.556375
149528770,29.233536,-98.5799375
149528772,29.2341606,-98.5799522
149528826,29.378736,-98.483673
149528827,29.378639,-98.483589
149528829,29.379103,-98.483429
149528832,29.379062,-98.483154
149528902,29.244833,-98.714382
149528904,29.243552,-98.71462
149529140,29.3373128,-98.6235338
149529144,29.323601,-98.618033
149529146,29.3229152,-98.6172656
149529384,29.2783595,-98.667464
149529397,29.2778955,-98.6669502
149529405,29.2788262,-98.6664146
149529413,29.2784055,-98.6668115
149529419,29.2787487,-98.6665717
149529430,29.285341,-98.651005
149529537,29.3966303,-98.5224709
149529540,29.3960168,-98.5193149
149529563,29.220658,-98.688457
149529564,29.220661,-98.688103
149529639,29.1936637,-98.4974089
149529792,29.410215,-98.628639
149529875,29.2904924,-98.6145052
149529877,29.2992716,-98.6093436
149529931,29.278866,-98.6692732
149529956,29.280047,-98.666534
149529958,29.28114,-98.663979
149529964,29.280128,-98.663329
149529972,29.286555,-98.651
149530146,29.321797,-98.4829693
149530153,29.32154,-98.480367
149530342,29.391303,-98.545044
149530354,29.3878966,-98.5482697
149530396,29.370167,-98.545939
149530398,29.368481,-98.546144
149531095,29.381068,-98.51692
149531097,29.38106,-98.518402
149531099,29.381057,-98.519823
149531166,29.33815,-98.602947
149531178,29.338593,-98.60217
149531180,29.339057,-98.601481
149531182,29.33947,-98.600856
149531184,29.339883,-98.600228
149531193,29.397878,-98.694405
149531195,29.397892,-98.696059
149531309,29.392109,-98.543628
149531442,29.364509,-98.520242
149531445,29.3629932,-98.520219
149531505,29.371844,-98.4760184
149531519,29.371766,-98.474565
149531658,29.394973,-98.512806
149531664,29.394227,-98.512868
149531667,29.393343,-98.512861
149531669,29.392533,-98.51286
149531676,29.398057,-98.512861
149531692,29.417818,-98.647051
149531693,29.417656,-98.647052
149531694,29.416808,-98.647061
149531695,29.415964,-98.647064
149531698,29.415121,-98.647073
149531700,29.414285,-98.647076
149531702,29.413439,-98.647079
149531704,29.412595,-98.647083
149531706,29.411737,-98.647086
149531708,29.410892,-98.647093
149531710,29.40984,-98.647109
149531988,29.411921,-98.671848
149532001,29.412043,-98.676298
149532473,29.3885693,-98.5179212
149533069,29.411539,-98.636178
149533071,29.410689,-98.63618
149533082,29.409839,-98.636131
149533084,29.408988,-98.636119
149533086,29.408156,-98.636116
149533088,29.407292,-98.636118
149533090,29.40644,-98.63611
149533092,29.405592,-98.636108
149533094,29.404753,-98.636095
149533097,29.403583,-98.636094
149533323,29.3201106,-98.4772654
149533329,29.320146,-98.472045
149533331,29.320126,-98.468437
149533548,29.2799242,-98.6556025
149533550,29.279943,-98.653936
149533552,29.280012,-98.650285
149533554,29.2800808,-98.647396
149533581,29.278643,-98.638432
149533863,29.308065,-98.719825
149533974,29.208779,-98.566741
149533976,29.205809,-98.566776
149533978,29.204921,-98.56678
149534177,29.415953,-98.642579
149534399,29.398287,-98.657931
149534403,29.399022,-98.658302
149534405,29.399792,-98.658694
149534754,29.384841,-98.506302
149534758,29.383881,-98.506309
149534876,29.394477,-98.475753
149534878,29.394484,-98.474617
149534880,29.394497,-98.473484
149534949,29.360007,-98.622127
149534961,29.360576,-98.626279
149534965,29.360877,-98.628317
149534972,29.35984,-98.617822
149534976,29.359982,-98.618748
149534987,29.360061,-98.620723
149535088,29.335568,-98.526311
149535100,29.335775,-98.530808
149535102,29.335768,-98.5341127
149535111,29.335754,-98.5353517
149535113,29.335764,-98.536226
149535136,29.336412,-98.539004
149535148,29.336737,-98.541135
149535968,29.326913,-98.564164
149535972,29.327328,-98.564089
149535974,29.328291,-98.563911
149536194,29.37391,-98.46463
149536196,29.372938,-98.464663
149536200,29.371959,-98.46469
149536203,29.37156,-98.4647
149536217,29.393358,-98.641873
149536220,29.391884,-98.645419
149536221,29.3913014,-98.6468753
149536263,29.399736,-98.697173
149536275,29.399542,-98.698156
149536991,29.322364,-98.552796
149536994,29.322571,-98.554289
149537006,29.322785,-98.55677
149537019,29.322261,-98.557597
149537034,29.32224,-98.558922
149537036,29.323045,-98.564508
149537233,29.3977283,-98.5383459
149537398,29.313636,-98.712339
149537414,29.31472,-98.70563
149537441,29.317087,-98.702568
149537483,29.406315,-98.477577
149537485,29.406314,-98.476213
149537539,29.367649,-98.600542
149537540,29.368115,-98.603965
149537542,29.368244,-98.604922
149537544,29.368547,-98.607132
149537545,29.36867,-98.608058
149537550,29.368864,-98.608927
149537558,29.369282,-98.609764
149537565,29.369735,-98.610592
149537569,29.369909,-98.611593
149537587,29.370453,-98.61459
149537621,29.340463,-98.507358
149537623,29.340461,-98.5108327
149538125,29.3824,-98.508024
149538242,29.398452,-98.500838
149538249,29.397969,-98.498754
149538263,29.397662,-98.497903
149538268,29.397539,-98.49739
149538271,29.397413,-98.496928
149538277,29.398021,-98.501994
149538888,29.4211589,-98.476229
149539191,29.337824,-98.537366
149539224,29.3864394,-98.6529061
